IID	Group	Sex	Date	Population	NumSNPs	k1	k2
I24542_d	AncSAm	F	4725.0	Belize_4600BP	144946	0.999990	0.000010
B-04_noUDG.SG	AncSAm	F	2700.0	Baja_Mexico.SG	64599	0.974967	0.025033
MX-01_noUDG.SG	AncSAm	M	2700.0	Baja_Mexico.SG	102142	0.953439	0.046561
I24541	AncSAm	U	11700.0	Belize_11700BP_lc	2627	0.999990	0.000010
I24540	AncSAm	F	5607.0	Belize_3600BP	324129	0.999990	0.000010
I7543	AncSAm	M	3860.0	Belize_4000BP	107173	0.999990	0.000010
I8041	AncSAm	M	4079.0	Belize_4000BP	66664	0.999990	0.000010
I19950	AncSAm	M	4673.0	Belize_4600BP	623839	0.999990	0.000010
I5455	AncSAm	M	4472.0	Belize_4600BP	739272	0.999990	0.000010
I6235	AncSAm	M	4523.0	Belize_4600BP	755187	0.999990	0.000010
I6236	AncSAm	F	4482.0	Belize_4600BP	826364	0.999990	0.000010
I19167	AncSAm	M	4891.0	Belize_4900BP	33619	0.999990	0.000010
I19942	AncSAm	F	4943.0	Belize_4900BP	126035	0.999990	0.000010
I3442	AncSAm	M	4998.0	Belize_4900BP	921025	0.999990	0.000010
I5454	AncSAm	M	5038.0	Belize_4900BP	629679	0.999990	0.000010
I7544	AncSAm	F	4757.0	Belize_4900BP	677371	0.999990	0.000010
I19944_d	AncSAm	M	4868.0	Belize_4900BP_lc	10514	0.999990	0.000010
I13267	AncSAm	F	5483.0	Belize_5500BP	754339	0.999990	0.000010
I20428_d	AncSAm	M	7025.0	Belize_7000BP_lc	11717	0.999990	0.000010
I5456	AncSAm	M	7368.0	Belize_7400BP	461439	0.999990	0.000010
I5457	AncSAm	M	7376.0	Belize_7400BP	287327	0.999990	0.000010
I19170	AncSAm	F	8775.0	Belize_8800BP	67944	0.993123	0.006877
I19169	AncSAm	M	8735.0	Belize_8800BP_possible.1d.rel.I19170	69160	0.999990	0.000010
I13268	AncSAm	M	9534.0	Belize_9400BP	155226	0.999990	0.000010
