IID	Group	Sex	Date	Population	NumSNPs	k1	k2	k3
Ne30_genotyping_noUDG	GROUP1	M	9896	China_AmurRiver_EarlyN	590693	0.115537	0.425720	0.458743
Ne61_genotyping_noUDG	GROUP1	U	3421	China_AmurRiver_BA	590361	0.113848	0.425090	0.461062
Ne35_genotyping_noUDG	GROUP1	F	8990	China_AmurRiver_EarlyN	590571	0.124759	0.414981	0.460261
HG00759.SG	CDX.SG	F	0	CDX.SG	1146818	0.000010	0.109895	0.890095
HG00766.SG	CDX.SG	F	0	CDX.SG	1146634	0.000010	0.083019	0.916971
HG00844.SG	CDX.SG	M	0	CDX.SG	1147702	0.000010	0.059288	0.940702
HG00851.SG	CDX.SG	F	0	CDX.SG	1148771	0.000010	0.072051	0.927939
HG00864.SG	CDX.SG	F	0	CDX.SG	1055446	0.015743	0.112460	0.871797
HG00867.SG	CDX.SG	F	0	CDX.SG	1144520	0.000010	0.104377	0.895613
HG00879.SG	CDX.SG	F	0	CDX.SG	1052407	0.000010	0.103872	0.896118
HG00881.SG	CDX.SG	M	0	CDX.SG	1145398	0.000010	0.081615	0.918375
HG00956.SG	CDX.SG	F	0	CDX.SG	1143429	0.000010	0.136548	0.863442
HG00978.SG	CDX.SG	F	0	CDX.SG	1140115	0.000010	0.142648	0.857342
HG00982.SG	CDX.SG	M	0	CDX.SG	1141320	0.000010	0.084693	0.915297
HG01028.SG	CDX.SG	M	0	CDX.SG	1141006	0.000010	0.092949	0.907041
HG01029.SG	CDX.SG	F	0	CDX.SG	1141860	0.000010	0.075075	0.924915
HG01031.SG	CDX.SG	M	0	CDX.SG	1116217	0.000010	0.075491	0.924499
HG01046.SG	CDX.SG	F	0	CDX.SG	1139033	0.000010	0.075369	0.924621
HG01794.SG	CDX.SG	F	0	CDX.SG	1128288	0.000010	0.077206	0.922784
HG01795.SG	CDX.SG	F	0	CDX.SG	1144854	0.008505	0.094797	0.896698
HG01796.SG	CDX.SG	F	0	CDX.SG	1142952	0.000010	0.054094	0.945896
