IID	Group	Sex	Date	Pop	NumSNPs	North	Jomon	South
Ne30_genotyping_noUDG	GROUP1	M	9896	China_AmurRiver_EarlyN	590693	0.422097	0.118422	0.459481
Ne61_genotyping_noUDG	GROUP1	U	3421	China_AmurRiver_BA	590361	0.420917	0.116942	0.462142
Ne35_genotyping_noUDG	GROUP1	F	8990	China_AmurRiver_EarlyN	590571	0.409479	0.128278	0.462243
HG00759.SG	CDX.SG	F	0	CDX.SG	1146818	0.114666	0.000010	0.885324
HG00766.SG	CDX.SG	F	0	CDX.SG	1146634	0.087736	0.000010	0.912254
HG00844.SG	CDX.SG	M	0	CDX.SG	1147702	0.063038	0.000010	0.936952
HG00851.SG	CDX.SG	F	0	CDX.SG	1148771	0.076239	0.000010	0.923751
HG00864.SG	CDX.SG	F	0	CDX.SG	1055446	0.115895	0.016397	0.867708
HG00867.SG	CDX.SG	F	0	CDX.SG	1144520	0.108789	0.000010	0.891201
HG00879.SG	CDX.SG	F	0	CDX.SG	1052407	0.108355	0.000010	0.891635
HG00881.SG	CDX.SG	M	0	CDX.SG	1145398	0.086082	0.000010	0.913908
HG00956.SG	CDX.SG	F	0	CDX.SG	1143429	0.140518	0.000010	0.859472
HG00978.SG	CDX.SG	F	0	CDX.SG	1140115	0.146234	0.000010	0.853756
HG00982.SG	CDX.SG	M	0	CDX.SG	1141320	0.089044	0.000010	0.910946
HG01028.SG	CDX.SG	M	0	CDX.SG	1141006	0.096866	0.000010	0.903124
HG01029.SG	CDX.SG	F	0	CDX.SG	1141860	0.078778	0.000010	0.921212
HG01031.SG	CDX.SG	M	0	CDX.SG	1116217	0.079653	0.000010	0.920337
HG01046.SG	CDX.SG	F	0	CDX.SG	1139033	0.079877	0.000010	0.920113
HG01794.SG	CDX.SG	F	0	CDX.SG	1128288	0.082177	0.000010	0.917813
HG01795.SG	CDX.SG	F	0	CDX.SG	1144854	0.099205	0.008091	0.892704
HG01796.SG	CDX.SG	F	0	CDX.SG	1142952	0.058796	0.000010	0.941194
HG01797.SG	CDX.SG	F	0	CDX.SG	1145927	0.041066	0.005549	0.953386
HG01798.SG	CDX.SG	F	0	CDX.SG	1142627	0.417918	0.000010	0.582072
HG01799.SG	CDX.SG	F	0	CDX.SG	1144499	0.058932	0.000010	0.941058
HG01800.SG	CDX.SG	F	0	CDX.SG	1144421	0.132994	0.000010	0.866996
HG01801.SG	CDX.SG	F	0	CDX.SG	1144523	0.090159	0.000010	0.909831
HG01802.SG	CDX.SG	F	0	CDX.SG	1143533	0.167584	0.000010	0.832406
HG01804.SG	CDX.SG	F	0	CDX.SG	1138054	0.253663	0.021528	0.724809
HG01805.SG	CDX.SG	F	0	CDX.SG	1142424	0.095688	0.001060	0.903251
HG01806.SG	CDX.SG	F	0	CDX.SG	1142611	0.068515	0.000010	0.931475
HG01807.SG	CDX.SG	F	0	CDX.SG	1145266	0.053881	0.003555	0.942565
HG01808.SG	CDX.SG	F	0	CDX.SG	1139856	0.114102	0.002994	0.882904
HG01809.SG	CDX.SG	F	0	CDX.SG	1140330	0.047956	0.000010	0.952034
HG01810.SG	CDX.SG	M	0	CDX.SG	1142855	0.087341	0.000010	0.912649
HG01811.SG	CDX.SG	M	0	CDX.SG	1144993	0.048430	0.000010	0.951560
HG01812.SG	CDX.SG	F	0	CDX.SG	1143221	0.080557	0.000010	0.919433
HG01813.SG	CDX.SG	F	0	CDX.SG	1144652	0.122883	0.000459	0.876659
HG01815.SG	CDX.SG	F	0	CDX.SG	1143201	0.080376	0.004148	0.915476
HG01816.SG	CDX.SG	M	0	CDX.SG	1138516	0.064722	0.002990	0.932288
HG01817.SG	CDX.SG	F	0	CDX.SG	1143906	0.069027	0.000010	0.930963
HG02151.SG	CDX.SG	F	0	CDX.SG	1143896	0.038873	0.005522	0.955605
